headline,press,created_at,relation,prosorcons
"현대모비스, 미래차 전문가 양성… 대학에 교육용 시험차 10대 기증",세계일보,2024.07.23.,1,y
"도장 없이 색상 예측… KCC, AI 기반 시스템 개발",세계일보,2024.07.23.,2,y
"현대차, 日에 전기버스 수출… ‘전동화 전환’ 가속도 낸다",세계일보,2024.07.23.,1,y
‘급발진 사고’ 차량 제조사 책임 강화… 자료 안내면 결함 추정,세계일보,2024.07.23.,1,n
"LGD, 프리미엄 車 디스플레이 시장 독주 태세",세계일보,2024.07.23.,1,y
'깜짝실적' 대형주의 반격… 2900선 고지 탈환 앞장선다,파이낸셜뉴스,2024.07.23.,2,w
"현대차 전기버스, 日시장 뚫었다… ‘일렉 시티 타운’ 유네스코 유산 ...",파이낸셜뉴스,2024.07.23.,2,y
"""3년은 늦다, 2년 만에"" 정의선, 결단의 리더십",매일경제,2024.07.23.,1,y
"바이틀 벤츠 사장 ""판매량 1위보다 고객 만족 1위 더 중요""",부산일보,2024.07.23.,1,w
[POWER COMPANY] 미래 50년 도약 `착착`… 인공지능·휴머노이드 시장 공...,디지털타임스,2024.07.23.,2,y
"현대모비스, 경기과기대에 교육용車 10대 기증",파이낸셜뉴스,2024.07.23.,1,y
한국GM 임단협 잠정합의…숙련공 재고용 추가 논의,한국경제,2024.07.23.,1,y
"""자율주행차 동맹 만들자"" …혼다·닛산·우버 CEO 모은 손정의",서울경제,2024.07.23.,1,y
車뼈대 공유 … 현대차·기아 실속경영,매일경제,2024.07.23.,1,y
"모두가 전기차 어렵다며 말릴 때 …""독자기술로 돌파"" 혁신 물꼬",매일경제,2024.07.23.,1,y
"현대차 韓경제 기여도, 삼성전자와 어깨 나란히",매일경제,2024.07.23.,1,y
현대차 전기버스 '일렉시티타운' 첫 日 수출,한국경제,2024.07.23.,1,y
"US스틸 인수 美승인 앞두고 일본제철, 中 바오산과 결별",매일경제,2024.07.23.,2,w
나사보다 가볍고 단단… 車조립 접착제 뜬다,매일경제,2024.07.23.,2,y
나사보다 가볍고 단단… 車조립 접착제 뜬다,매일경제,2024.07.23.,2,y
[포토뉴스]강원권 교통안전 유관기관 합동캠페인,강원일보,2024.07.23.,1,y
"""비용 덜 들고 파업도 안해""…'테슬라봇' 고용하는 머스크의 빅픽처",한국경제,2024.07.23.,1,w
"""신용등급 줄하향…금리 낮춰도 계속될 것""",서울경제,2024.07.23.,2,n
"[단독]""韓 '2+2' 모두 수주할 좋은 기회 있어""",서울경제,2024.07.23.,1,w
'현대차 본사' 옆 염곡지구에 공공주택 1000가구,한국경제,2024.07.23.,1,w
"차량 정비 O2O 플랫폼 마카롱팩토리, 50억원 투자 유치",머니투데이,2024.07.23.,2,w
치열해지는 ‘꿈의 배터리’ 시장…中·日 대규모 투자,서울경제,2024.07.23.,2,y
치열해지는 ‘꿈의 배터리’ 시장…中·日 대규모 투자,서울경제,2024.07.23.,1,w
일본차 안팔려…中서 손떼는 일본제철,한국경제,2024.07.23.,1,y
신혼부부 반값 전세에 사세요,매일경제,2024.07.23.,2,w
"""그만 문송할래요""…폴리텍 신입생 4명 중 1명은 '대졸 U턴'",한국경제,2024.07.23.,1,n
[단독]차세대 '포터 EV' 2026년 양산…안전성·주행거리 확 늘린다,서울경제,2024.07.23.,2,n
"급발진 의심車 제조사, 자료 안 내면 결함 추정",디지털타임스,2024.07.23.,2,n
변동성 커진 美 증시…엔비디아·테슬라 파는 서학개미,이데일리,2024.07.23.,2,y
"금호석유화학, 재활용·재생에너지·바이오소재 등 친환경 사업 강화",매일경제,2024.07.23.,1,y
"현대차·기아, 택시용품사 '스마트 표시등' 디자인 지원",매일경제,2024.07.23.,1,y
[이슈플러스]재계 '노란봉투법' 위기감…손해배상청구 무력화·파업 만...,전자신문,2024.07.23.,1,w
"[단독]SK온 배터리, 中 뚫는다…지리자동차 서산공장 실사",이데일리,2024.07.23.,1,y
수능 원서 온라인 사전접수·우체국 소포 분실시 선 배상,강원일보,2024.07.23.,1,w
"`연두 번호판` 소용 없네… 람보르기니, PHEV로 상승세 잇는다",디지털타임스,2024.07.23.,2,y
"KTR, 수소차 연료전지 자원순환 시험인증 특화센터 조성",전자신문,2024.07.23.,1,y
경북도의회 다자녀 지원 법안 눈길,매일신문,2024.07.23.,1,w
'구멍 뚫린 하늘' 보름만에 자동차 침수피해 320억원…내년 車보험료 오...,전자신문,2024.07.23.,1,y
"보험개발원, 보험통계 플랫폼 'INsis' 고도화 착수",전자신문,2024.07.23.,1,y
[타봤더니] 왕좌에서 내려올 시간...내연기관 정점 찍은 람보르기니 우...,한국일보,2024.07.23.,1,y
급발진 원인 규명될까... 제조사 자료 안 내면 결함 추정,한국일보,2024.07.23.,1,y
고령자 복지주택 매년 3000가구 공급한다,문화일보,2024.07.23.,1,y
현대차 전기버스 ‘일렉시티타운’… 일본 ‘바다위 알프스’ 야쿠시마...,문화일보,2024.07.23.,2,w
"포스코플로우, 獨 영업지사 설립",헤럴드경제,2024.07.23.,1,w
"현대차, 日에 무공해 전기버스 첫 수출",헤럴드경제,2024.07.23.,1,w
"현대차, 인도네시아서 ‘EV 충전 얼라이언스’ 구축",헤럴드경제,2024.07.23.,2,n
"현대차, 일본에 첫 전기버스 공급…이와사키그룹과 '일렉 시티 타운' 구...",전자신문,2024.07.23.,1,n
[단독] 이진숙 유튜브엔…‘5·18단체는 이권단체’ ‘간첩스러운 장관...,한겨레,2024.07.23.,2,y
“동맹국도 예외없다” 더 세진 트럼프 청구서 [격랑의 미국 대선],헤럴드경제,2024.07.23.,2,y
급발진 의심 사고때 제조사 자료 미제출하면 ‘차량 결함’ 추정,부산일보,2024.07.23.,2,w
"현대모비스, 경기과기대에 시험차 10대 기증…미래차 인재 양성 지원",전자신문,2024.07.23.,1,y
"플래티어, 퍼포스와 함께 '언리얼 페스트 2024' 참가",전자신문,2024.07.23.,1,y
"현대차 무공해 전기버스, 日 '바다 위의 알프스' 달린다",서울경제,2024.07.23.,2,y
"日로 간 전기버스 `일렉 시티 타운`… 현대車, 내년 야쿠시마에 5대 공급",디지털타임스,2024.07.23.,1,y
"현대차 전기버스, 일본 야쿠시마에서 달린다",아시아경제,2024.07.23.,1,y
"핀테크, 기술력·노하우로 해외서 활로 찾는다…경기 불황 극복",전자신문,2024.07.23.,1,y
"한은 ""올해 中 경제 '상고하저'…4% 후반 성장 전망""",이데일리,2024.07.23.,1,y
"KT, SW 기반 모빌리티 솔루션 사이버 보안 `국제인증`",디지털타임스,2024.07.23.,2,w
"현대차, 인니에 전기차 생태계 확장…‘EV 충전 얼라이언스 구축’",이데일리,2024.07.23.,1,y
"휴그린파워, '무인이동체산업엑스포'서 차륜형 장갑차용 대용량 수소공...",전자신문,2024.07.23.,1,w
"KT, SW 기반 모빌리티 솔루션 사이버 보안 국제 인증 확보",전자신문,2024.07.23.,1,n
'올림픽파크포레온' 신혼부부 장기전세주택2 입주자 24일까지 모집,아시아경제,2024.07.23.,1,n
"집중호우에 침수 차량 벌써 3500건…""내년 車 보험료 오르나""",아시아경제,2024.07.23.,1,w
"현대차 울산공장, 부품사 화재로 일부 생산 차질",부산일보,2024.07.23.,2,y
소소한 일상을 웃음과 넉넉함으로 채워준… 아버지 같은 스승[고맙습니...,문화일보,2024.07.23.,2,y
"KCC, AI로 색상 예측하는 '無도장 조색시스템 개발'",아시아경제,2024.07.23.,1,w
中알리바바 “사장님들 오세요”… K 전용 ‘한국 파빌리온’ 론칭,국민일보,2024.07.23.,2,w
[로터리] 새만금에서 부르는 하하하(夏夏夏)쏭,서울경제,2024.07.23.,1,n
"한경협 회비 납부 미뤄진 삼성… 현대차그룹, 먼저 물꼬 ‘총대’",국민일보,2024.07.23.,2,n
"""할부 대출 안 나와 신차 구매 포기""…실물경제 회복 멀었다",아시아경제,2024.07.23.,1,n
[슈퍼 엔저]⑥“1년 내 165엔 넘을 것”…日 이코노미스트의 경고,아시아경제,2024.07.23.,1,w
"'기회의 땅'…현대차그룹, 중동·아프리카로 전동화 지평 넓힌다",이데일리,2024.07.23.,1,y
IT 접목 자율주행버스 달리고 원격진료… 법률 정비 애탄다 [연중기획-...,세계일보,2024.07.23.,1,w
스마트폰으로 차 문 여닫고 시동… LG이노텍 ‘디지털키’ 솔루션 개발,세계일보,2024.07.23.,1,y
현대차그룹 이피트 패스에 '이브이시스' 합류…충전 생태계 확장 가속,전자신문,2024.07.23.,1,y
"[전문가가 말했다-업종 기상도]""호황 맞은 반도체·조선 주목, K-수출주...",아시아경제,2024.07.23.,2,y
"""내년 공장배치"" 머스크, 또 휴머노이드 로봇 언급…주가 5.2%↑",아시아경제,2024.07.23.,2,y
"[의정광장] 초고령 사회 진입, 교통 변화 골든타임",서울신문,2024.07.23.,2,y
"BMW, 상반기에도 벤츠 제쳤다… 2년 연속 1위 질주할까",서울신문,2024.07.23.,1,y
격랑에 빠진 美대선… 완성차 복잡한 셈법,서울신문,2024.07.23.,1,w
"현대차도 가속페달… 미래차 승부, 데이터 싸움에 달렸다",서울신문,2024.07.23.,1,y
“제조업에 AI 도입 서두르자”… 민관 올해 2.5조원 투입,동아일보,2024.07.23.,2,w
"현대차, ‘TCR 월드투어’ 4R 우승",동아일보,2024.07.23.,1,n
손보사 “車침수 피해 늘어 손해율 급등”… 보험료 인상 가능성,동아일보,2024.07.23.,1,w
‘자본잠식’ 수소충전 업체에 수혈 논의… “수소차 늘어야 활로”,동아일보,2024.07.23.,1,y
"[사설] 경기도 버스 행정, 리튬 배터리 안전을 미리 토론하다",경기일보,2024.07.23.,2,y
"EV9 돌풍에…기아, 美 전기차 빅3 됐다",한국경제,2024.07.23.,1,y
“제조 현장 AI 확대” 4년간 수십조 투자,조선일보,2024.07.23.,2,w
주행거리 수백 ㎞ 늘어난다... 현대차가 개발 나선 새 전기차,조선일보,2024.07.23.,1,y
[사설] ‘바이든 사퇴’로 미 대선 격동…플랜 A·B·C 풀가동해야,중앙일보,2024.07.23.,2,y
"[사설] 한국 대표기업들의 AI 전환, 지금이 골든타임",한국경제,2024.07.23.,2,y
"[의정칼럼] 폭우에 와르르 무너지는 태양광 설비, 안전대책 시급",강원도민일보,2024.07.23.,2,w
"‘물폭탄’에 침수차 급증, 작년 여름 피해 넘어서…보험사 손해 벌써 ...",중앙일보,2024.07.23.,1,y
트럼프에 공장 건설 중단까지…위기의 2차전지주,이데일리,2024.07.23.,1,y
러시아 “도요타 회장 등 13명 입국 금지”에 일본 “결코 수용 못해”,경향신문,2024.07.24.,1,y
"자율주행 버스, 농촌서도 달린다",경향신문,2024.07.24.,1,y
볼보차 타면 평생 무상부품 보증…고객 만족 최우선,서울경제,2024.07.24.,2,y
국회의원 전원에 노란봉투법 숙고 호소,세계일보,2024.07.24.,2,w
‘K정유’ 상반기 수출량 역대 최대…산유국 버금,경향신문,2024.07.24.,1,w
"중기 화장품 수출 사상 최대…정부, K뷰티 육성으로 화답",경향신문,2024.07.24.,2,w
"장맛비가 삼킨 차, 3500대…손보사 손해율 관리 ‘빨간불’",경향신문,2024.07.24.,2,n
도로 방치 전동킥보드 강제수거하니 효과 톡톡,세계일보,2024.07.24.,2,w
"하이브 새 CEO에 이재상 ""라이프 스타일 기업 도약""",한국경제,2024.07.24.,2,w
"보험 비교·추천서비스, 대형보험사 몽니에 취지 '무색'",이데일리,2024.07.24.,1,n
"[THE FINANCE] ""소유 보다 경험"" 여신사, 車금융 길 깔았다",디지털타임스,2024.07.24.,2,y
"아찔했던 '강남역 물바다'… ""이젠 다르다"" 서울시 호언장담 [기후위기...",파이낸셜뉴스,2024.07.24.,1,w
수출로 버텼는데 내수위축 타격 커... 기업경기 29개월 연속 '부진' 전망,파이낸셜뉴스,2024.07.24.,1,n
"""노란봉투법, 무법천지 만들 것"" 손경식의 경고",파이낸셜뉴스,2024.07.24.,1,n
"테슬라, 2분기 순익 45% 급감… 빅테크 기대가 실망으로",파이낸셜뉴스,2024.07.24.,1,n
정유4사 상반기 석유제품 수출량 역대 최고,파이낸셜뉴스,2024.07.24.,2,w
"[송종훈의 근대뉴스 오디세이] 100년 전 홍수 참사, 모든 것 쓸어가 버린...",디지털타임스,2024.07.24.,2,w
"""노조법 개정안 숙고해달라""…손경식, 의원 300명에 서한",한국경제,2024.07.24.,2,y
'양궁' 이유있는 선전⋯ 회장사 아낌없는 지원 [파리 올림픽],경기일보,2024.07.24.,2,y
"제네시스, 美 메트로폴리탄 미술관 후원",파이낸셜뉴스,2024.07.24.,1,w
대만도 '고령화 쇼크'… 65세 정년 폐지·외국인 고용 늘려,서울경제,2024.07.24.,1,w
엔비디아서 마이크론까지…대만 '올빼미 정신' 앞세워 AI·반도체 기업 ...,서울경제,2024.07.24.,2,w
"자율주행 개발 중단에…GM 깜짝 실적에도 ""하반기 우려"" 주가 급락",서울경제,2024.07.24.,1,n
"손경식 ""노조법 개정 재고를"" 국회의원 300명에 편지 보내",매일경제,2024.07.24.,1,n
어닝 쇼크까지…빅테크 주가 '폭풍 속으로',한국경제,2024.07.24.,2,w
"GM, 자율주행차 '오리진' 개발 중단",한국경제,2024.07.24.,2,n
"러, 도요타 회장 등 입국 금지…日 ""결코 수용 못해""",한국경제,2024.07.24.,2,n
“새벽 3시에 전화 거셔도 받습니다…고객 '불만 제로'가 목표” [CEO&ST...,서울경제,2024.07.24.,1,y
롯데인프라셀 배터리사업 순항…獨과 양극박 원자재 장기계약,한국경제,2024.07.24.,2,w
하이브 새 대표이사에 이재상 CSO…박지원 사임,한겨레,2024.07.24.,1,n
"최대산지 中 경기침체…마그네슘, 최저가 경신",한국경제,2024.07.24.,1,y
"KCC, AI 기반 페인트 조색시스템 개발",한국경제,2024.07.24.,2,y
"정의선과 제네시스, 메트로폴리탄 미술관 '파사드' 전시 후원",한국일보,2024.07.24.,1,w
"수천억 예산 낭비 악몽 되풀이? 인천시, F1 유치전 뛰어들고도 ’쉬쉬’",한겨레,2024.07.24.,2,n
니로·레이 전기차 가격 인상 추진,한국경제,2024.07.24.,2,w
"전고체 배터리 전쟁…파우치형 LG엔솔·SK온, 각형 삼성SDI",한국경제,2024.07.24.,2,y
"""내연차 수익 좋다"" 전기차 생산 미룬 GM…LG엔솔과 합작도 영향?",머니투데이,2024.07.24.,1,n
"기장군 장안천에 기름 20t 유입, 물고기 떼죽음",부산일보,2024.07.24.,2,y
"현대車, 세계적 미술관 후원… 아트 파트너십 강화",디지털타임스,2024.07.24.,1,n
"러, 도요타 회장 등 일본인 13명 입국금지…‘대러 제재’ 대응",한겨레,2024.07.24.,2,n
"""노란봉투법에 산업생태계 붕괴"" 손경식, 의원 300명 전원에 서한",서울경제,2024.07.24.,1,w
"""2차대전 생각난다"" 길거리에 군인들이 쫙…파리 주민들도 '당황'",머니투데이,2024.07.24.,1,w
"손경식 경총 회장, 국회의원 300명에 '노란봉투법 입법' 재고 호소",전자신문,2024.07.24.,2,w
"경총 손경식 회장 ""기업 해외이전 부르는 노조법 개정안 숙고해야""",디지털타임스,2024.07.24.,1,w
"손경식 경총 회장, 국회의원 전원에게 ""노란봉투법 재고해달라"" 서한",머니투데이,2024.07.24.,1,w
자동차 연비 기준에 대한 고찰 [로버트 스타빈스 - HIC],헤럴드경제,2024.07.24.,1,w
정유 4사 석유제품 수출 2억4530만 배럴… 상반기 ‘최대’,문화일보,2024.07.24.,2,y
"“영토 포기할 수도” 우크라 국민, 1년새 3배로 늘어",문화일보,2024.07.24.,2,y
기업들 ‘녹다운’… 경기 전망 29개월째 ‘부정적’,문화일보,2024.07.24.,2,y
정의선 “창작자에 영감 주고 새 비전 세상에 알릴 것”,문화일보,2024.07.24.,2,y
석유제품 상반기 수출량 역대 최대… 전년보다 9% 증가한 237.6억달러,디지털타임스,2024.07.24.,2,y
변화무쌍 날씨 걱정없는 ‘꿈의 오픈카’ [김성우의 시승기 - 벤츠 CLE 2...,헤럴드경제,2024.07.24.,1,y
현대차·기아 디자인 ‘엄지척’…레드닷어워드 최우수상 수상,헤럴드경제,2024.07.24.,1,y
"LG이노텍, 車 ‘디지털키’ 2027년 양산",헤럴드경제,2024.07.24.,1,y
"LGU+, 기아 EV3에 ‘게임포털’ 첫 제공",헤럴드경제,2024.07.24.,1,y
"정유업계, 석유제품 수출량 상반기 기준 역대 최대 기록 경신",전자신문,2024.07.24.,2,w
"석유제품 상반기 수출, 6년 만에 역대 최대치 경신",아시아경제,2024.07.24.,2,y
"LG유플러스, '기아 EV3'에 차량용 게임 제공",전자신문,2024.07.24.,1,y
빅테크 실적 발표 본격화…테슬라·구글 시간 외 주가 급락(종합),아시아경제,2024.07.24.,2,y
"롯데인프라셀, 獨 컨스텔리움과 양극박 원재료 장기공급 계약",디지털타임스,2024.07.24.,2,y
"""기아 EV3 타고 게임 해볼까""… LG유플 `게임포탈` 상용화",디지털타임스,2024.07.24.,1,y
테슬라 수익성 악화에 로보택시도 연기…주가 8% 급락(종합),이데일리,2024.07.24.,2,w
현대차 日 야쿠시마에 무공해 전기버스 공급,국민일보,2024.07.24.,1,y
쏟아지는 신차… 자동차 시장 ‘보릿고개’ 넘을까,국민일보,2024.07.24.,2,y
“2030년까지 해외투자개발사업 100억弗 수주”,세계일보,2024.07.24.,1,w
"로터스, 스포츠카 2종 韓 상륙 …에미라 9월·엘레트라 10월 인도",전자신문,2024.07.24.,1,w
반도체 살아났지만…29개월 연속 경기전망 기준치 하회,아시아경제,2024.07.24.,2,w
첨단기술 다투는 ‘율촌 TPC 분쟁팀’,서울신문,2024.07.24.,2,n
"“트럼프 리스크 대비”… 韓 車업계, TF 꾸리며 ‘촉각’",동아일보,2024.07.24.,1,y
현대차 무공해 전기버스… 日 세계자연유산 달린다,동아일보,2024.07.24.,1,y
"美 대선 ‘외풍’에, 韓 증시는 롤러코스터",동아일보,2024.07.24.,2,n
미래차 ‘K칩스법’ 혜택에… 작년 車업계 국내투자 58% 늘었다,동아일보,2024.07.24.,1,y
"현대차, 이번엔 ‘전기버스’로 日 공략",조선일보,2024.07.24.,1,n
자동차 개별소비세 감면 혜택 ‘2자녀 가정’까지 확대法 발의,조선일보,2024.07.24.,1,y
“산업용 로봇 더 똑똑하게”… 머리 싸맨 빅테크들,조선일보,2024.07.24.,2,y
[강찬호의 뉴스메이커] 기울었어도 유럽은 여전히 표준…‘극단 회피 D...,중앙일보,2024.07.24.,1,y
[이상재의 시선] 현대차 계속 고용이 ‘실험’ 넘어서려면,중앙일보,2024.07.24.,2,y
조 바이든과 ‘정치적 급발진’ [조선칼럼 노정태],조선일보,2024.07.24.,1,y
[폴 도너번의 마켓 나우] 부의 증가와 상속이 투자 우선순위 바꾼다,중앙일보,2024.07.24.,2,y
