일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2025/07/23","2069.06","94.28","4.77","2026.45","2075.88","2020.27","19911.0","1261413.0","1.38826571E8"
"2025/07/22","1974.78","-30.76","-1.53","1999.75","2012.97","1968.21","4252.0","252005.0","1.3087878E8"
"2025/07/21","2005.54","-10.85","-0.54","2014.84","2026.04","1999.81","3714.0","231215.0","1.32837122E8"
"2025/07/18","2016.39","-3.85","-0.19","2026.49","2044.79","2001.91","4553.0","238190.0","1.33752626E8"
"2025/07/17","2020.24","11.28","0.56","2016.93","2027.38","1989.11","4236.0","296965.0","1.34114269E8"
"2025/07/16","2008.96","-19.62","-0.97","2036.51","2038.77","2006.13","4909.0","270205.0","1.33091386E8"
"2025/07/15","2028.58","-39.21","-1.90","2053.08","2055.64","2019.26","6067.0","483865.0","1.34393618E8"
"2025/07/14","2067.79","57.98","2.88","2009.50","2073.73","1999.28","6989.0","525876.0","1.37666848E8"
"2025/07/11","2009.81","-6.88","-0.34","2008.65","2028.52","2005.17","5240.0","361206.0","1.33564523E8"
"2025/07/10","2016.69","24.45","1.23","2002.20","2022.66","1991.69","6242.0","428037.0","1.33792736E8"
"2025/07/09","1992.24","11.83","0.60","1969.43","1992.30","1955.09","4829.0","360134.0","1.32980417E8"
"2025/07/08","1980.41","34.00","1.75","1935.83","1988.65","1929.13","5431.0","332638.0","1.32517475E8"
"2025/07/07","1946.41","-14.40","-0.73","1948.71","1961.22","1932.82","4308.0","211918.0","1.30569575E8"
"2025/07/04","1960.81","-25.50","-1.28","1991.36","2004.34","1957.97","4795.0","232441.0","1.31511769E8"
"2025/07/03","1986.31","29.30","1.50","1978.26","1990.37","1959.70","7055.0","363011.0","1.33341464E8"
"2025/07/02","1957.01","39.83","2.08","1932.45","1962.62","1920.23","6646.0","493079.0","1.32235435E8"
"2025/07/01","1917.18","32.24","1.71","1893.24","1944.08","1891.75","6362.0","455435.0","1.29742317E8"
"2025/06/30","1884.94","-8.77","-0.46","1888.25","1904.74","1881.51","4279.0","254224.0","1.27175174E8"
"2025/06/27","1893.71","-32.37","-1.68","1922.00","1923.19","1882.41","5112.0","312334.0","1.28007464E8"
"2025/06/26","1926.08","-30.16","-1.54","1944.15","1960.01","1910.23","6199.0","416871.0","1.30245645E8"
"2025/06/25","1956.24","64.25","3.40","1901.71","1982.35","1899.76","11009.0","879124.0","1.33053153E8"
